embedding,target,split,split_id,model,model_seed,n_train,n_test,spearman,top5_precision,top5_enrich_diff
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold3,xgb,2,6902,1726,0.6923725430282464,0.22988505747126436,0.37439829111099243
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold3,xgb,3,6902,1726,0.6873444278477374,0.21839080459770116,0.3997877836227417
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold3,xgb,4,6902,1726,0.6824246990662537,0.2413793103448276,0.4026010036468506
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold3,tabpfn,0,6902,1726,0.7275840143751218,0.21839080459770116,0.39219099283218384
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold4,xgb,0,6902,1726,0.6891361300692259,0.22988505747126436,0.3192989230155945
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold4,xgb,1,6902,1726,0.6910029355099444,0.25287356321839083,0.3327506184577942
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold4,xgb,2,6902,1726,0.6861463369144315,0.21839080459770116,0.3190574049949646
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold4,xgb,3,6902,1726,0.682232734388408,0.27586206896551724,0.3167753219604492
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold4,xgb,4,6902,1726,0.6858710875681168,0.22988505747126436,0.32394522428512573
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold4,tabpfn,0,6902,1726,0.6951226438242197,0.22988505747126436,0.33487629890441895
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold5,xgb,0,6903,1725,0.7036334417660763,0.13793103448275862,0.3790220618247986
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold5,xgb,1,6903,1725,0.7018541332770072,0.16091954022988506,0.38472282886505127
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold5,xgb,2,6903,1725,0.7033952139114351,0.13793103448275862,0.39048629999160767
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold5,xgb,3,6903,1725,0.7069268966778061,0.16091954022988506,0.38188159465789795
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold5,xgb,4,6903,1725,0.7118481519228879,0.1839080459770115,0.38757771253585815
prott5,dms_enrichment_mean,pos_holdout,pos_holdout_fold5,tabpfn,0,6903,1725,0.7116916501488793,0.1724137931034483,0.4018510580062866
prott5,dms_KmCO2_logfit,within_position,within_seed0,xgb,0,6902,1726,0.4398980280270647,0.3448275862068966,0.16896595060825348
prott5,dms_KmCO2_logfit,within_position,within_seed0,xgb,1,6902,1726,0.43649823801432147,0.3448275862068966,0.151834174990654
prott5,dms_KmCO2_logfit,within_position,within_seed0,xgb,2,6902,1726,0.44140087422634994,0.3448275862068966,0.1632140427827835
prott5,dms_KmCO2_logfit,within_position,within_seed0,xgb,3,6902,1726,0.44274642631193833,0.3333333333333333,0.15968744456768036
prott5,dms_KmCO2_logfit,within_position,within_seed0,xgb,4,6902,1726,0.4516924610572416,0.3563218390804598,0.16049058735370636
prott5,dms_KmCO2_logfit,within_position,within_seed1,xgb,0,6902,1726,0.4848087029277181,0.3103448275862069,0.17445722222328186
prott5,dms_KmCO2_logfit,within_position,within_seed1,xgb,1,6902,1726,0.47936253514264315,0.3103448275862069,0.16867181658744812
prott5,dms_KmCO2_logfit,within_position,within_seed1,xgb,2,6902,1726,0.4886317417404707,0.26436781609195403,0.16217359900474548
prott5,dms_KmCO2_logfit,within_position,within_seed1,xgb,3,6902,1726,0.5018268202870293,0.28735632183908044,0.16449934244155884
prott5,dms_KmCO2_logfit,within_position,within_seed1,xgb,4,6902,1726,0.4813321424942054,0.3103448275862069,0.15898925065994263
prott5,dms_KmCO2_logfit,within_position,within_seed2,xgb,0,6902,1726,0.4723383899337509,0.2413793103448276,0.11324882507324219
prott5,dms_KmCO2_logfit,within_position,within_seed2,xgb,1,6902,1726,0.46006997183104187,0.25287356321839083,0.12138503789901733
prott5,dms_KmCO2_logfit,within_position,within_seed2,xgb,2,6902,1726,0.4538447105408428,0.2413793103448276,0.11443343758583069
prott5,dms_KmCO2_logfit,within_position,within_seed2,xgb,3,6902,1726,0.4819295641561071,0.22988505747126436,0.11406496167182922
prott5,dms_KmCO2_logfit,within_position,within_seed2,xgb,4,6902,1726,0.4853545860624406,0.25287356321839083,0.1208541989326477
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold1,xgb,0,6903,1725,0.29668435200847604,0.26436781609195403,0.13114245235919952
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold1,xgb,1,6903,1725,0.2754640809574001,0.2413793103448276,0.1241176575422287
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold1,xgb,2,6903,1725,0.31296073755929193,0.20689655172413793,0.10268886387348175
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold1,xgb,3,6903,1725,0.30542572758432907,0.20689655172413793,0.10490648448467255
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold1,xgb,4,6903,1725,0.30386461169299206,0.22988505747126436,0.11403922736644745
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold2,xgb,0,6902,1726,0.24106227261918978,0.14942528735632185,0.0569021999835968
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold2,xgb,1,6902,1726,0.2658273918669787,0.12643678160919541,0.05320173501968384
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold2,xgb,2,6902,1726,0.24810276592325328,0.1724137931034483,0.057540178298950195
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold2,xgb,3,6902,1726,0.26387233222876727,0.12643678160919541,0.05134999752044678
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold2,xgb,4,6902,1726,0.23407517142380974,0.10344827586206896,0.04974755644798279
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold3,xgb,0,6902,1726,0.17692391462719206,0.12643678160919541,0.04589885473251343
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold3,xgb,1,6902,1726,0.19997755375027026,0.11494252873563218,0.05876731872558594
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold3,xgb,2,6902,1726,0.18271945195490574,0.12643678160919541,0.037674084305763245
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold3,xgb,3,6902,1726,0.2123065486124388,0.09195402298850575,0.027337700128555298
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold3,xgb,4,6902,1726,0.19187874707661842,0.08045977011494253,0.02732875943183899
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold4,xgb,0,6902,1726,0.2809620101365775,0.20689655172413793,0.09478193521499634
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold4,xgb,1,6902,1726,0.2655975732005361,0.21839080459770116,0.09287774562835693
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold4,xgb,2,6902,1726,0.2896480063156624,0.1724137931034483,0.09231355786323547
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold4,xgb,3,6902,1726,0.2854426041103674,0.19540229885057472,0.09599658846855164
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold4,xgb,4,6902,1726,0.27571291799700365,0.1839080459770115,0.08373996615409851
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold5,xgb,0,6903,1725,0.2194450724781848,0.12643678160919541,0.058293551206588745
