dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,model_seed,n_train,n_test,spearman,r2,mse,top5_precision,top5_mean_true,mean_true,top5_enrich_diff,top5_enrich_ratio
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,128,5000.0,3,6902,1726,0.8422774791845647,0.7216423749923706,0.03115437552332878,0.28735632183908044,0.9167788028717041,0.508456289768219,0.4083225131034851,1.8030631566965567
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,128,5000.0,4,6902,1726,0.8473533795368428,0.7289008498191833,0.030341988429427147,0.3218390804597701,0.9354649782180786,0.508456289768219,0.4270086884498596,1.8398139565635279
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,64,,0,6902,1726,0.7897014321413885,0.6032952666282654,0.04395812749862671,0.26436781609195403,0.9154496192932129,0.5158746838569641,0.3995749354362488,1.7745581396799817
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,64,,1,6902,1726,0.7901277230176004,0.603669285774231,0.04391668736934662,0.21839080459770116,0.9114002585411072,0.5158746838569641,0.39552557468414307,1.766708634986651
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,64,,2,6902,1726,0.7881699871530576,0.6018701791763306,0.04411604255437851,0.2413793103448276,0.9002819061279297,0.5158746838569641,0.3844072222709656,1.7451562061486035
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,64,,3,6902,1726,0.7874378767496789,0.60285884141922,0.04400648921728134,0.20689655172413793,0.8979172110557556,0.5158746838569641,0.3820425271987915,1.7405723505220891
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,64,,4,6902,1726,0.7889677714042515,0.6024619340896606,0.04405046999454498,0.28735632183908044,0.9157921671867371,0.5158746838569641,0.39991748332977295,1.7752221534496884
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,64,0.0,0,6902,1726,0.8440869180985152,0.7121827006340027,0.03189251199364662,0.2988505747126437,0.9394180178642273,0.5158746838569641,0.4235433340072632,1.8210198082228406
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,64,5000.0,0,6902,1726,0.8232373719924967,0.6771602630615234,0.03577328100800514,0.27586206896551724,0.9227375388145447,0.5158746838569641,0.40686285495758057,1.7886854456893466
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,64,5000.0,1,6902,1726,0.8262295296636273,0.6777170896530151,0.035711582750082016,0.2988505747126437,0.9284576177597046,0.5158746838569641,0.4125829339027405,1.7997735628700415
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,64,5000.0,2,6902,1726,0.8262473760424777,0.6816442012786865,0.03527642413973808,0.27586206896551724,0.9274643659591675,0.5158746838569641,0.41158968210220337,1.7978481886820488
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,64,5000.0,3,6902,1726,0.8250500478526307,0.6796478629112244,0.03549763560295105,0.28735632183908044,0.9231410622596741,0.5158746838569641,0.40726637840270996,1.7894676578384532
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,64,5000.0,4,6902,1726,0.8239729931007905,0.6748703122138977,0.036027029156684875,0.27586206896551724,0.9301710724830627,0.5158746838569641,0.41429638862609863,1.8030950182098295
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,128,,0,6902,1726,0.8262248504443784,0.6549667119979858,0.038232509046792984,0.25287356321839083,0.9231460690498352,0.5158746838569641,0.4072713851928711,1.789477363277231
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,128,,1,6902,1726,0.8204626766601231,0.6497515439987183,0.03881039470434189,0.20689655172413793,0.9160982966423035,0.5158746838569641,0.40022361278533936,1.7758155717063813
