dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,spearman,r2,top5_precision,top5_enrich_diff,n_runs,n_train,n_test
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold1,tabpfn,128,5000.0,0.6948280856896483,0.46491682529449463,0.22758620689655168,0.3874257683753967,5,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold1,xgb,64,,0.6392718724747717,0.3862443804740906,0.19310344827586207,0.35797877311706544,5,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold1,xgb,128,,0.663933015925091,0.4112438797950745,0.18850574712643672,0.362614631652832,5,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold2,tabpfn,64,0.0,0.6811129120400425,0.4504737257957458,0.1839080459770115,0.3881163597106933,1,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold2,tabpfn,64,5000.0,0.6788204246053069,0.4506981372833252,0.14712643678160914,0.38271055221557615,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold2,tabpfn,128,0.0,0.6585953258042051,0.4064152240753174,0.264367816091954,0.3825892806053161,1,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold2,tabpfn,128,5000.0,0.6491065847087608,0.3975278973579407,0.25747126436781603,0.385400390625,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold2,xgb,64,,0.6700693511051871,0.42483489513397216,0.19770114942528733,0.3831132411956787,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold2,xgb,128,,0.6363823831129428,0.3756550192832947,0.18620689655172412,0.34581441879272456,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold3,tabpfn,64,0.0,0.6794111900840992,0.4742246866226196,0.2298850574712643,0.352890133857727,1,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold3,tabpfn,64,5000.0,0.6752494776999474,0.46733100414276124,0.17701149425287355,0.3387932896614075,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold3,tabpfn,128,0.0,0.6961007243367214,0.4924721121788025,0.1494252873563218,0.3276288509368896,1,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold3,tabpfn,128,5000.0,0.6873892788059986,0.4781810283660889,0.1448275862068965,0.3284152269363403,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold3,xgb,64,,0.6582227857381715,0.4263590931892395,0.19770114942528735,0.36301683187484735,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold3,xgb,128,,0.6650854461505135,0.4280152916908264,0.19770114942528733,0.33469655513763424,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold4,tabpfn,64,0.0,0.6421402807175648,0.3899288773536682,0.2988505747126437,0.3309589028358459,1,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold4,tabpfn,64,5000.0,0.6358493693979004,0.3843492388725281,0.3103448275862069,0.33006823062896723,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold4,tabpfn,128,0.0,0.6778382730553725,0.4443524479866028,0.3218390804597701,0.3257922530174255,1,6902,1726
